id,name,artist,album,image_url,preview_url,predicted_emoji,mood_label,language
1389971325,Knockin' On Heaven's Door,Guns N' Roses,Use Your Illusion II,https://is1-ssl.mzstatic.com/image/thumb/Music122/v4/db/8e/35/db8e356d-76e8-1e10-d7cb-87870bdbfad2/18UMGIM31437.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/20/13/b7/2013b787-3530-9b4d-897a-add1eb9260eb/mzaf_6391352351771173426.plus.aac.p.m4a,😠,Angry,Korean
1727314454,Round and Round,Ratt,Out of the Cellar,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/a5/eb/7f/a5eb7fee-252f-9f60-33a4-c3c360ce749d/0075678014369.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/70/2c/bd/702cbd7f-633b-2bd9-b4d7-289d8a164f4b/mzaf_4863467153518894180.plus.aac.p.m4a,😠,Angry,Korean
1377813298,Paradise City,Guns N' Roses,Appetite for Destruction,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/a0/4d/c4/a04dc484-03cc-02aa-fa82-5334fcb4bc16/18UMGIM24878.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/cf/54/d7/cf54d725-7092-bb67-899f-aa384dba3c8b/mzaf_7178417100025433484.plus.aac.p.m4a,😠,Angry,Korean
1608257640,Chronosaurus,Stray Kids,SKZ2020,https://is1-ssl.mzstatic.com/image/thumb/Music126/v4/3e/65/d4/3e65d433-9e11-67e9-3eb9-910fa1ef4471/738676857511_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/8a/6a/01/8a6a0185-45c8-84ad-5a3b-adc1cf7d4f47/mzaf_11676473748872748653.plus.aac.p.m4a,😠,Angry,Korean
1727326435,Round and Round (2007 Remaster),Ratt,Tell the World: The Very Best of Ratt,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/d5/66/67/d56667f4-fed5-1384-b72a-7e1fcf4044d4/0603497990535.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview126/v4/7c/15/bf/7c15bfc5-ee46-2541-1076-50842d1d3b1d/mzaf_9049754706090621060.plus.aac.p.m4a,😠,Angry,Korean
1313176083,BANG BANG BANG,BIGBANG,MADE,https://is1-ssl.mzstatic.com/image/thumb/Music125/v4/5b/9b/8e/5b9b8ef2-998e-1210-8454-dfebfbf6271c/BB_COVER_IMAGE_4000.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/5f/d5/16/5fd5163d-8933-2c78-11d5-1b0a5732fbce/mzaf_17344485036425791045.plus.aac.p.m4a,😠,Angry,Korean
952213752,Metal (TAO Solo) [Live],EXO,EXOLOGY CHAPTER 1: THE LOST PLANET (Live),https://is1-ssl.mzstatic.com/image/thumb/Music3/v4/62/10/cb/6210cb29-aae1-8a5b-4097-fe3ffaf88bce/1.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/a2/44/b3/a244b3eb-0320-2550-2cb7-bcc428725c94/mzaf_13067003686006269598.plus.aac.p.m4a,😠,Angry,Korean
1831159019,Golden,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast","Golden (From the Netflix film ""KPop Demon Hunters"") - EP",https://is1-ssl.mzstatic.com/image/thumb/Music221/v4/08/e7/c8/08e7c854-fdaa-f7c2-7551-a98e226f9809/25UMGIM90866.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/e0/dd/3a/e0dd3a2a-2965-221c-1d47-88c4f9752417/mzaf_9996280554058973395.plus.aac.p.m4a,😠,Angry,Korean
1837843443,How It’s Done,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI & KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film / Deluxe Version),https://is1-ssl.mzstatic.com/image/thumb/Music211/v4/1e/eb/50/1eeb50b9-d3e3-ef81-13d3-9be87ab446a8/25UM1IM35857.rgb.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview211/v4/c3/b8/76/c3b876df-4f4c-7780-c4a8-ca15e15fa40a/mzaf_3154172272344896087.plus.aac.p.m4a,😠,Angry,Korean
1463918607,GRoCERIES (feat. TisaKorean & Murda Beatz),Chance the Rapper,GRoCERIES (feat. TisaKorean & Murda Beatz) - Single,https://is1-ssl.mzstatic.com/image/thumb/Music114/v4/22/99/82/229982c6-607d-024d-334b-6478e7701fec/5059033598300.png/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview115/v4/48/87/5c/48875c46-06ee-324a-c78e-330e7c83db8f/mzaf_11878906612108387160.plus.aac.p.m4a,😠,Angry,Korean
854890817,Run Devil Run,Girls' Generation,Run Devil Run,https://is1-ssl.mzstatic.com/image/thumb/Music115/v4/a4/82/8c/a4828c50-11fa-50f1-f158-7ce923fd2e37/asset.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview125/v4/2d/07/dd/2d07ddcc-8106-b6d4-c3ae-798deba03b39/mzaf_17642325294622168677.plus.aac.p.m4a,😠,Angry,Korean
1598661895,I NEED U,BTS,The Most Beautiful Moment in Life: Young Forever,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/4c/97/6f/4c976f5c-5196-1221-8517-ddfcb0ba514c/8804775070341_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview221/v4/01/20/5e/01205e41-9017-ea53-f724-01f1aad4825c/mzaf_10650989239734623989.plus.aac.p.m4a,😠,Angry,Korean
1593828818,Wake Up (feat. CODE KUNST),"Gaeko, Ourealgoat, SINCE, Ahn Byeong Woong, Tabber & Gwang-il Jo",Show Me the Money 10 Episode 1 - EP,https://is1-ssl.mzstatic.com/image/thumb/Music116/v4/41/4a/06/414a06e8-530b-326d-722c-4c4c08c62525/888272089127_Cover.jpg/600x600bb.jpg,https://audio-ssl.itunes.apple.com/itunes-assets/AudioPreview116/v4/f3/42/4a/f3424a00-447e-4657-2cbd-00574489d783/mzaf_6107762875233560164.plus.aac.p.m4a,😠,Angry,Korean
